dataset,detector,scope,auc,auc_ci_low,auc_ci_high,balanced_accuracy,eer
tgbl-wiki,temporal_graph_eve,independent,0.5194430859375,,,0.5150625,0.49049999999999994
tgbl-wiki,sequence_transformer_eve,independent,0.5292041484375001,,,0.51575,0.4831875
tgbl-wiki,bounded_white_box_gradient_boosting,bounded_white_box,0.5657108984375,0.5561830897273989,0.574417704455943,0.5340625,0.4659375
tgbl-wiki,oracle_leakage_gradient_boosting,oracle_leakage,0.5805864921875,0.5766256725653044,0.5849695083694251,0.5420625,0.4579375
mooc,temporal_graph_eve,independent,0.5001866484374999,,,0.5001875,0.499875
mooc,sequence_transformer_eve,independent,0.4998985156250001,,,0.4999375,0.5000625
mooc,bounded_white_box_gradient_boosting,bounded_white_box,0.5008746171874998,0.5004395026103828,0.5014405182851389,0.5004375,0.4995625
mooc,oracle_leakage_gradient_boosting,oracle_leakage,0.5008746171875,0.5004998155673273,0.5014975782532284,0.5004375,0.4995625
lastfm,temporal_graph_eve,independent,0.4999999921875001,,,0.5,0.5
lastfm,sequence_transformer_eve,independent,0.49999999999999994,,,0.5,0.5
lastfm,bounded_white_box_gradient_boosting,bounded_white_box,0.5,0.5,0.5,0.5,0.5
lastfm,oracle_leakage_gradient_boosting,oracle_leakage,0.5,0.5,0.5,0.5,0.5
geolife_cells,temporal_graph_eve,independent,0.5,,,0.5,0.5
geolife_cells,sequence_transformer_eve,independent,0.5,,,0.5,0.5
geolife_cells,bounded_white_box_gradient_boosting,bounded_white_box,0.5,0.49031091982580627,0.5088887882128833,0.5,0.5
geolife_cells,oracle_leakage_gradient_boosting,oracle_leakage,0.5009994999999999,0.500563662247879,0.5015004749721155,0.5005,0.4995
t_drive_cells,temporal_graph_eve,independent,0.50033684375,,,0.498625,0.5
t_drive_cells,sequence_transformer_eve,independent,0.4996386640625,,,0.5008125,0.500375
t_drive_cells,bounded_white_box_gradient_boosting,bounded_white_box,0.5360763046875,0.5271990800432109,0.5444022235611224,0.5185625,0.4814375
t_drive_cells,oracle_leakage_gradient_boosting,oracle_leakage,0.5915049921875,0.5875423082329785,0.5953442122930457,0.5480625,0.4519375
